All,Tous
"Invalid gateway credentials.","Les identifiants de la passerelle ne sont invalides."
"Transaction has been declined. Please try again later.","La transaction a été refusée. Veuillez réessayer plus tard."
"Select all","Tout sélectionner"
"Deselect all","Tout désélectionner"
"%s of %s selected","%s de %s sélectionnés"
"B2B Features","Paramètres pour environnement BtoB"
"Invalid Form Key. Please refresh the page.","Clé de formulaire invalide. Veuillez actualiser la page."
"You entered an invalid Secret Key. Please refresh the page.","Vous avez saisi une clé secrète non valide. Veuillez actualiser la page."
"Cache Storage Management","Gestion du cache"
"Flush Magento Cache","Purger le cache Magento"
"The cache storage may contain additional data. Are you sure that you want to flush it?","Le stockage de cache peut contenir d'autres données. Êtes-vous sûr de vouloir le vider ?"
"Flush Cache Storage","Purger le stockage du cache"
Invalidated,Invalidé
Orders,Commandes
Amounts,Montants
Bestsellers,"Meilleures ventes"
"Most Viewed Products","Produits les plus consultés"
"New Customers","Nouveaux clients"
Customer,Client
Guest,Invité
Items,Articles
"Lifetime Sales","Ventes depuis le début"
"Average Order","Panier moyen"
Average,Moyen
Views,Vues
Revenue,Revenu
Tax,TVA
Shipping,Livraison
"Media (.avi, .flv, .swf)","Média (.avi, .flv, .swf)"
"All Files","Tous les fichiers"
"Reset to Default","Rétablir les valeurs par défaut"
"All Store Views","Toutes les vues magasin"
"What is this?","Qu'est-ce que c'est ?"
"Save Account","Sauvegarder le compte"
"My Account","Mon compte"
"Account Information","Informations du compte"
"User Name","Nom d'utilisateur"
"First Name",Prénom
"Last Name",Nom
"User Email","Email de l'utilisateur"
"New Password","Nouveau mot de passe"
"Password Confirmation","Confirmation du mot de passe"
"Current User Identity Verification","Vérification de l'identité utilisateur actuel"
"Your Password","Votre mot de passe"
"Save Cache Settings","Sauvegarder les paramètres de cache"
"Catalog Rewrites","Réécriture du catalogue"
Refresh,Rafraîchir
"Images Cache","Cache d'images"
Clear,Vider
"Search Index","Index de recherche"
Rebuild,Reconstruire
"Inventory Stock Status","Statut du stock de l'inventaire"
"Rebuild Catalog Index","Reconstruire l'index du catalogue"
"Rebuild Flat Catalog Category","Reconstruire le catalogue à plat des catégories"
"Rebuild Flat Catalog Product","Reconstruire le catalogue à plat des produits"
"Cache Control","Contrôle du cache"
"All Cache","Tout le cache"
"No change","Aucun changement"
Disable,Désactiver
Enable,Activer
"Add Design Change","Ajouter un changement de design"
Delete,Supprimer
Save,Sauvegarder
"Edit Design Change","Éditer le changement de design"
"New Store Design Change","Nouveau changement de design"
"General Settings","Paramètres généraux"
"-- Please Select --","-- Faites un choix --"
"Custom Design","Design personnalisé"
"Date From","Entre le"
"Date To","et le"
"Design Change","Changement de design"
General,Général
"Delete %1 '%2'","Supprimer %1 '%2'"
"Delete %1","Supprimer %1"
"Block Information",Information
"Backup Options","Options de sauvegarde"
"Create DB Backup","Créer une sauvegarde de la BDD"
"Delete Store","Supprimer le magasin"
"Delete Web Site","Supprimer le Site Web"
"Save Web Site","Sauvegarder le Site Web"
"Save Store","Sauvegarder le magasin"
"Save Store View","Sauvegarder la vue magasin"
"Delete Store View","Effacer la vue magasin"
"Edit Web Site","Modifier le Site Web"
"New Web Site","Nouveau Site Web"
"Edit Store","Modifier le magasin"
"New Store","Nouveau magasin"
"Edit Store View","Éditer la vue magasin"
"New Store View","Nouvelle vue magasin"
"Store Information","Informations magasin"
"Web Site","Site Web"
Name,Nom
"Root Category","Catégorie racine"
"Default Store View","Vue magasin par défaut"
"Store View Information","Information de vue magasin"
Disabled,Désactivé
"Web Site Information","Informations du site web"
"Default Store","Magasin par défaut"
"Set as Default","Définir par défaut"
Stores,Magasins
"Create Website","Créer un site web"
"Create Store","Créer un magasin"
"Create Store View","Créer une vue magasin"
Home,Accueil
"Are you sure you want to do this?","Êtes-vous sûr de vouloir faire cela ?"
"Add New Image","Nouvelle image"
"Export block for grid %1 is not defined","Bloc d'exportation pour grille %1 n'est pas défini"
"Reset Filter","Réinitialiser le filtre"
Search,Chercher
Any,Tous
"All Countries","Tous les pays"
From,Depuis
To,À
"Date selector","Sélecteur de date"
"[ deleted ]","[ effacé ]"
"Select All","Sélectionner tout"
" [deleted]"," [effacé]"
"We couldn't find any records.","Nous n'avons trouvé aucun enregistrement."
"Add New",Ajouter
"Invalid export type supplied for grid export block","Type d'exportation fourni non valide pour la grille du bloc d'exportation"
Export,Exporter
"Please correct the column format and try again.","Merci de corriger le format de la colonne puis réessayez."
"Please select items.","Sélectionnez des éléments."
Submit,Valider
"Unknown block type","Type de bloc inconnu"
"Please correct the tab configuration and try again. Tab Id should be not empty","S’il vous plaît corriger la configuration de l’onglet, puis réessayez. L'Id de l'onglet ne doit pas être vide"
"Please correct the tab configuration and try again.","Merci de corriger la configuration de l'onglet puis réessayez."
"You have logged out.","Vous vous êtes déconnecté(e)."
"Specified cache type(s) don't exist: %1","Le(s) type(s) de cache spécifié(s) n'existe(nt) pas : %1"
"The image cache was cleaned.","Le cache des images a été nettoyé."
"An error occurred while clearing the image cache.","Erreur lors de la purge du cache des images."
"The JavaScript/CSS cache has been cleaned.","Le cache javascript/CSS a été nettoyé."
"An error occurred while clearing the JavaScript/CSS cache.","Erreur lors de la purge du cache javascript/CSS."
"The static files cache has been cleaned.","Le cache des fichiers statiques a été nettoyé."
"You flushed the cache storage.","Vous purgez le stockage du cache."
"The Magento cache storage has been flushed.","Le cache Magento a été purgé."
"Cache Management","Gestion du cache"
"You can't change status of cache type(s) in production mode","Vous ne pouvez pas modifier le(s) statut(s) du cache en mode production"
"%1 cache type(s) disabled.","%1 type(s) de cache désactivé(s)."
"An error occurred while disabling cache.","Une erreur s'est produite lors de la désactivation de cache."
"%1 cache type(s) enabled.","%s type(s) de cache activé(s)."
"An error occurred while enabling cache.","Une erreur s'est produite lors de l'activation de cache."
"%1 cache type(s) refreshed.","%1 type(s) de cache rafraîchi."
"An error occurred while refreshing cache.","Une erreur s'est produite lors de l'actualisation du cache."
Dashboard,"Tableau de bord"
"We updated lifetime statistic.","Les statistiques depuis l'ouverture de la boutique ont été mise à jour."
"We can't refresh lifetime statistics.","Impossible de mettre à jour les statistiques depuis l'ouverture de la boutique."
"invalid request","demande non valide"
"see error log for details","consultez le journal des erreurs pour plus d'informations"
"Service unavailable: %1","Service non disponible : %1"
"Access Denied.","Accès refusé."
"You need more permissions to do this.","Vous n'avez pas l'autorisation d'effectuer cette opération."
"No search modules were registered","Aucun module de recherche n'a été enregistré"
"Please make sure that all global admin search modules are installed and activated.","Vérifiez que tous les modules admin de recherche sont installés et activés"
"You saved the account.","Vous avez sauvegardé le compte."
"An error occurred while saving account.","Erreur lors de la sauvegarde du compte."
"You deleted the design change.","Vous avez supprimé le changement de design."
"You can't delete the design change.","Vous ne pouvez pas supprimer le changement de design."
"Store Design","Design du magasin"
"Edit Store Design Change","Modifier le changement de design du magasin"
"You saved the design change.","Vous avez sauvegardé le changement de design."
System,Système
"Manage Stores","Gestion des magasins"
"The database was backed up.","La base de données a été sauvegardée."
"We can't create a backup right now. Please try again later.","Nous ne pouvons pas créer une sauvegarde immédiatement. Veuillez réessayer ultérieurement."
"Deleting a %1 will not delete the information associated with the %1 (e.g. categories, products, etc.), but the %1 will not be able to be restored. It is suggested that you create a database backup before deleting the %1.","Supprimer un %1 ne supprimera pas les informations associées avec le %1 (e.g. catégories, produits, etc.), mais le %1 ne pourra pas être restauré. Il est recommandé de créer une sauvegarde de la base de données avant de supprimer le %1."
"Something went wrong. Please try again.","Une erreur s'est produite. Merci d'essayer ultérieurement."
"This store cannot be deleted.","Ce magasin ne peut pas être effacé."
"You deleted the store.","Vous avez supprimé le magasin."
"Unable to delete the store. Please try again later.","Impossible de supprimer la vue magasin. Veuillez réessayer ultérieurement."
"This store view cannot be deleted.","Cette vue magasin ne peut pas être effacée."
"Store View","Vue magasin"
"You deleted the store view.","Vous avez supprimé la vue magasin."
"Unable to delete the store view. Please try again later.","Impossible de supprimer la vue magasin. Veuillez réessayer ultérieurement."
